time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
0.0	1.579242	0.786872	2.471105	0.371519	0.501515	1.0	2.255062	1.424298	2.822234	1.030294	2.062971	0.649465	0.346406	2.227063	0.75881	0.228051	2.132111	0.565478	1.0
4.137931	1.621812	0.8516	2.437678	0.507742	0.607328	1.0	2.220834	1.546847	2.924659	1.14336	2.059662	0.756345	0.566382	2.29134	0.943358	0.425393	2.148708	0.710898	1.0
8.275862	1.664382	0.916328	2.404252	0.643964	0.713141	1.0	2.186606	1.669396	3.027083	1.256425	2.056353	0.863224	0.786359	2.355616	1.127907	0.622736	2.165306	0.856317	1.0
12.413793	1.706953	0.981056	2.370826	0.780187	0.818953	1.0	2.152378	1.791945	3.129508	1.369491	2.053043	0.970103	1.006335	2.419892	1.312456	0.820078	2.181903	1.001737	1.0
16.551724	1.744475	1.023803	2.341603	0.863779	0.881061	1.0	2.1263	1.857538	3.109017	1.435665	2.051686	1.03157	1.133938	2.45856	1.461372	1.043646	2.177185	1.079982	1.0
20.689655	1.773586	1.029916	2.319385	0.859652	0.870328	1.0	2.113805	1.828207	2.883668	1.423688	2.053583	1.01735	1.107584	2.454546	1.550902	1.310923	2.136939	1.046268	1.0
24.827586	1.802696	1.036029	2.297167	0.855524	0.859595	1.0	2.10131	1.798875	2.658318	1.411711	2.05548	1.003129	1.08123	2.450533	1.640431	1.5782	2.096694	1.012554	1.0
28.965517	1.831806	1.042142	2.274949	0.851397	0.848863	1.0	2.088815	1.769543	2.432969	1.399734	2.057376	0.988909	1.054876	2.446519	1.729961	1.845478	2.056449	0.978841	1.0
33.103448	1.823673	1.044548	2.246389	0.846583	0.842996	1.0	2.083437	1.756399	2.411918	1.365381	2.050901	0.979321	1.049464	2.452062	1.809739	1.937242	2.044727	0.950571	1.0
37.241379	1.803126	1.045718	2.215716	0.841539	0.838751	1.0	2.080431	1.74865	2.458968	1.32357	2.041634	0.971276	1.051031	2.460791	1.886265	1.970502	2.042512	0.924116	1.0
41.37931	1.782579	1.046889	2.185042	0.836494	0.834507	1.0	2.077425	1.740901	2.506017	1.281759	2.032367	0.963232	1.052599	2.46952	1.962792	2.003762	2.040298	0.89766	1.0
45.517241	1.762032	1.04806	2.154369	0.83145	0.830262	1.0	2.07442	1.733152	2.553066	1.239948	2.023101	0.955188	1.054167	2.478248	2.039319	2.037023	2.038084	0.871205	1.0
49.655172	1.741484	1.04923	2.123695	0.826406	0.826018	1.0	2.071414	1.725403	2.600115	1.198137	2.013834	0.947144	1.055734	2.486977	2.115846	2.070283	2.035869	0.84475	1.0
53.793103	1.720937	1.050401	2.093022	0.821362	0.821773	1.0	2.068408	1.717655	2.647165	1.156326	2.004568	0.9391	1.057302	2.495706	2.192372	2.103543	2.033655	0.818295	1.0
57.931034	1.70039	1.051572	2.062349	0.816318	0.817528	1.0	2.065402	1.709906	2.694214	1.114515	1.995301	0.931055	1.05887	2.504435	2.268899	2.136803	2.031441	0.791839	1.0
62.068966	1.683447	1.046637	2.051197	0.808818	0.803069	1.0	2.059129	1.676129	2.667636	1.115436	1.984746	0.919642	1.051172	2.487114	2.253713	2.137576	2.023808	0.76295	1.0
66.206897	1.670109	1.035598	2.059566	0.798862	0.778395	1.0	2.049587	1.616325	2.56743	1.159088	1.972902	0.90486	1.034208	2.443745	2.146814	2.105862	2.010755	0.731628	1.0
70.344828	1.656771	1.024558	2.067936	0.788906	0.753722	1.0	2.040045	1.556521	2.467225	1.202741	1.961057	0.890078	1.017245	2.400375	2.039915	2.074148	1.997702	0.700305	1.0
74.482759	1.643432	1.013519	2.076305	0.77895	0.729048	1.0	2.030504	1.496717	2.367019	1.246394	1.949213	0.875297	1.000281	2.357005	1.933016	2.042434	1.98465	0.668982	1.0
78.62069	1.630094	1.002479	2.084675	0.768993	0.704374	1.0	2.020962	1.436913	2.266813	1.290047	1.937369	0.860515	0.983317	2.313635	1.826117	2.01072	1.971597	0.63766	1.0
82.758621	1.616755	0.99144	2.093044	0.759037	0.679701	1.0	2.011421	1.377109	2.166608	1.3337	1.925525	0.845733	0.966354	2.270266	1.719218	1.979006	1.958545	0.606337	1.0
86.896552	1.603417	0.9804	2.101414	0.749081	0.655027	1.0	2.001879	1.317304	2.066402	1.377352	1.913681	0.830951	0.94939	2.226896	1.612319	1.947292	1.945492	0.575015	1.0
91.034483	1.594661	0.970238	2.111867	0.74606	0.640281	1.0	1.997857	1.278212	2.011296	1.425399	1.907144	0.825778	0.941881	2.210126	1.542143	1.931841	1.932568	0.552586	1.0
