,,Akt,Akt,Akt,Akt,AktpT308,AktpT308,AktpT308,AktpT308,AktpS473,AktpS473,AktpS473,AktpS473,PRAS40,PRAS40,PRAS40,PRAS40,PRAS40pT246,PRAS40pT246,PRAS40pT246,PRAS40pT246,PRAS40pS183,PRAS40pS183,PRAS40pS183,PRAS40pS183,S6K,S6K,S6K,S6K,S6KpT389,S6KpT389,S6KpT389,S6KpT389,S6KpT229,S6KpT229,S6KpT229,S6KpT229,TSC2,TSC2,TSC2,TSC2,TSC2pT1462,TSC2pT1462,TSC2pT1462,TSC2pT1462,IRS1,IRS1,IRS1,IRS1,IRS1pS636/639,IRS1pS636/639,IRS1pS636/639,IRS1pS636/639,4E-BP1,4E-BP1,4E-BP1,4E-BP1,4E-BP1pT37/46,4E-BP1pT37/46,4E-BP1pT37/46,4E-BP1pT37/46,GAPDH,GAPDH,GAPDH,GAPDH,ERK,ERK,ERK,ERK,ERK-pT202/Y204,ERK-pT202/Y204,ERK-pT202/Y204,ERK-pT202/Y204,p38,p38,p38,p38,p38-pT180/Y182,p38-pT180/Y182,p38-pT180/Y182,p38-pT180/Y182,ER alpha,ER alpha,ER alpha,ER alpha
,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
ZR-75,0,0.732892002,0.613734179,0.819798329,0.681564268,0.08822388,0.472296633,,0.495152806,0.658200741,0.406622062,0.027908867,0.41956857,0.973005011,0.97103277,0.916482896,0.937986196,0.152077499,0.559184144,0.223518414,0.380102673,0.41332235,0.425151251,0.339828863,0.640066891,0.505857825,0.248916186,0.23320743,0.423962718,0.020996214,0.115078506,0.11454029,0.308886715,0.020996214,0.267099433,0.070591013,0.317031292,0.542779497,0.678573704,0.806130094,0.764559043,0.168197091,0.702480896,0.274466937,0.461171716,0.70408535,0.333175628,0.221054451,0.323783744,0.128129421,0.251096855,0.137363603,0.167873903,2.352608474,4.172579743,1.852996749,0.592339905,0.64515159,0.556931264,0.75876811,0.53156423,0.879787395,1.1317451,1.474298717,1.368802337,0.960827897,0.695176642,0.873142968,0.730515659,0.125430378,0.604147827,0.418514027,0.390177142,0.427058747,0.342487901,0.495211787,0.530975282,,2.006628894,0.85326637,3.662370387,0.243392505,0.241969845,0.31320021,0.267004151
ZR-75,15,0.772158724,0.623204887,0.92300488,0.652381458,0.772325777,0.697007255,,0.981990552,0.794259351,0.771823317,0.345362501,0.979432822,1.189364822,0.925556593,1.21722024,0.805250032,0.761531131,0.901946905,0.581479078,1.275223122,0.933529052,1.075797448,0.513775398,0.89095632,0.759669826,0.276562159,0.24152955,0.467079746,0.097078387,0.185707445,0.173039897,0.3132594,0.097078387,0.445551005,0.089710273,0.239680446,0.416688467,0.658387771,0.860866076,0.713032913,0.29281097,0.751070895,0.529255953,0.619083695,0.72082566,0.647714044,0.301906573,0.268450206,0.264076483,0.318864457,0.156039266,0.295814204,1.929042298,2.013440134,3.274176436,0.612756456,2.625950272,1.007795056,1.014217422,0.915493257,0.796549175,1.103517398,1.353154635,1.322534782,0.907565434,0.700698863,0.843692949,0.731961835,0.395722958,1.636809804,1.077195347,1.356189069,0.326074546,0.28363838,0.433745731,0.667280709,,1.621286968,1.983176631,10.64225178,0.209137088,0.200743172,0.382450988,0.24627293
ZR-75,30,0.668543172,0.675691753,0.799898462,0.78297162,0.834190673,0.643060228,,0.850261994,0.731341826,0.645721993,0.813413257,0.873565328,1.083049912,1.033517173,1.291547957,0.873166382,1.002002306,1.097065394,1.11201043,1.213692079,0.973682322,1.047716216,1.204312578,1.107170672,0.635629961,0.303121598,0.205568934,0.54496392,0.162658253,0.273239368,0.349326297,0.438283785,0.162658253,0.581297331,0.219433762,0.358144268,0.538891456,0.673426964,0.781422176,0.825671064,0.263083876,0.746195343,0.718362362,0.697951939,0.712758576,0.615285323,0.326967131,0.338854092,0.248106566,0.808307629,0.28169632,0.319243237,3.233829454,1.706268533,2.447901848,0.732974988,3.662277665,1.085143904,2.346165292,1.550754711,0.756922136,1.189879123,1.353880856,1.42201059,0.940022337,0.739100863,0.807518253,0.772678649,0.282553705,0.985459052,1.417586068,2.021839017,0.39698632,0.411929824,0.531941061,0.586410833,,1.683372152,3.416109079,5.054960689,0.239109883,0.289999599,0.332055149,0.185850219
ZR-75,60,0.77910213,0.607122031,0.869918413,0.756409199,0.570268141,0.793928521,,0.731471359,0.754465602,0.710820492,0.355140899,0.814034892,1.034355868,1.039318034,1.307785731,0.874013277,0.76710597,1.042203939,1.140403728,1.104671667,0.798471439,1.102090775,1.220771935,0.981958858,0.631030231,0.303642201,0.20881366,0.505943557,0.205945597,0.293790288,0.546862453,0.441299051,0.205945597,0.507287585,0.318523129,0.346648529,0.244356068,0.716943443,0.779208584,0.846915507,0.27524454,0.757245857,0.702743234,0.661500773,0.707716941,0.71842279,0.312635668,0.311725736,0.217610449,0.934313037,0.278355482,0.322445329,2.174754117,2.421192148,2.478013699,0.66467539,3.302384704,1.204996929,2.372094942,1.49558144,0.774314385,1.187433547,1.231099753,1.365647054,0.781520228,0.777701788,0.839559194,0.777172011,0.187701616,0.732188035,0.515269658,0.525201586,0.363835289,0.436700593,0.593583779,0.534461746,,1.227365058,0.72576179,4.087909182,0.212504383,0.262843688,0.380447194,0.237957391
ZR-75,90,0.682468293,0.702259248,0.766326451,0.60973721,0.620687651,0.723266083,,0.680582037,0.661261553,0.774591348,0.296200611,0.707868181,0.995868712,1.00636453,1.135078116,0.727625826,1.253134569,1.35004815,1.083186057,0.831111202,0.747038588,1.438772027,0.979616013,0.874959312,0.608029783,0.363995765,0.203005382,0.424620393,0.185643956,0.280400116,0.667804943,0.356090485,0.185643956,0.661156523,0.314959779,0.284366332,0.296121211,0.719777005,0.754229503,0.704626575,0.320868112,0.785911821,0.739890536,0.591630164,0.729245554,0.748062365,0.263645795,0.292420746,0.266197489,1.068987952,0.192028267,0.227830705,1.636369717,2.095680377,1.95375663,0.680836758,3.249203192,1.136524894,1.569601084,1.26079776,0.787847487,1.685488877,1.234111805,1.120456966,0.884444468,0.864544326,0.827420145,0.666349888,0.189651483,0.739354772,0.510980159,0.397804894,0.466908613,0.509645945,0.571820294,0.595199764,,1.82620454,0.582706696,4.41318358,0.211896207,0.293835845,0.288850416,0.230805247
ZR-75,120,0.765148155,0.950643859,0.953367266,0.555348646,0.483280258,0.797626292,,0.677393352,0.928939254,0.904077494,0.214486571,0.637843632,0.88567636,1.185470691,1.201956622,0.790720668,1.247028228,1.551497074,0.995861408,0.650677348,0.999705905,1.906648981,1.088673572,0.772148556,0.563985674,0.365531356,0.176714947,0.36247143,0.134614351,0.340806114,0.656824988,0.271873458,0.134614351,0.740826224,0.288541737,0.251904258,0.231213609,0.908016457,0.725009049,0.688667799,0.36696058,1.014183373,0.566159614,0.578734752,0.588303835,0.548187255,0.247402405,0.241792482,0.191307863,1.080331093,0.250008444,0.243624546,1.486881096,3.857802204,2.301836418,0.63224062,2.876838138,1.284406797,1.702491162,1.185685355,0.842474676,1.70366565,1.358444019,1.149345049,0.798840964,0.852366668,0.677205792,0.636052913,0.185244772,0.927194098,0.483410062,0.307121654,0.502874648,0.555296025,0.735656346,0.624892055,,3.503349782,0.558766192,3.417617429,0.222796242,0.346806929,0.276927926,0.076529953
MCF7,0,1,0.877717687,0.873254803,0.884903266,0.566628849,0.382659675,0.562101421,0.553566373,0.426763599,0.396811574,0.450514791,0.226568444,1,0.992408386,0.99787846,0.859830849,0.302849512,0.381597743,0.392554724,0.373392473,0.626351113,0.491009882,0.384091323,0.473696772,0.743081664,1,0.598594089,0.691369183,0.105326362,0.314535682,0.187330833,0.177991854,0.328892977,0.395666548,0.395760674,0.292058949,0.949536681,0.99421162,0.857350886,1,0.517540931,0.57816272,0.7098128,0.611912709,0.830733877,1,0.848010149,0.780628858,0.555718115,0.577928465,0.302391055,0.495991239,0.690327256,0.735158585,0.498102259,0.598952485,0.747865584,0.415215193,0.183436542,0.650534176,0.762252833,1,1,1,1,1,0.806007307,1,0.115089014,0.217525121,0.144150213,0.181685554,0.80613037,0.896441117,1,0.718109839,0.739651214,1,0.891220006,0.416469234,0.968962193,0.599299529,1,0.835584656
MCF7,15,0.917633364,0.988539735,0.864148906,0.881690712,1,0.901432821,0.859015981,0.948054221,0.994000112,0.919698562,0.865644549,0.878019005,0.988714433,1,0.997715524,0.940857761,1,0.914896534,0.940835805,0.921110053,1,0.897252531,0.822489522,0.831121476,0.884182289,0.760793554,0.690940918,0.807069579,0.435721391,0.652786069,0.422670462,0.455217014,0.618854884,0.773752682,0.63722278,0.441658365,1,1,0.824352461,0.945459643,1,0.981399771,0.848370791,1,1,0.981381319,0.623766603,0.911562256,0.776788613,0.795279178,0.575993561,0.709066173,0.874237803,0.907359071,0.542592466,0.8077429,0.970872514,1,0.87218084,0.897078407,1,0.93638787,0.953075194,0.733738947,0.901138546,0.97019486,0.818910294,0.992276622,1,1,1,1,0.845545233,0.821407758,0.923668142,1,1,0.964995286,1,1,1,0.885363404,0.458341831,1
MCF7,30,0.862884993,0.935763573,0.966732458,0.980584209,0.956041786,0.73978354,0.957172059,0.840258915,0.976814975,0.797442601,0.922217494,0.894386522,0.995182588,0.913893089,0.994010268,0.920188467,0.916479213,0.8403542,1,1,0.950285534,0.923443677,1,0.920583016,0.875371428,0.645244717,1,0.884615872,0.883203151,0.842664462,0.774946843,0.713488795,0.759523214,0.86209577,0.84157336,0.642047481,0.87763774,0.763084452,1,0.981368557,0.888148329,0.80790634,0.973755713,0.942376658,0.627589047,0.836383265,1,0.859924588,0.753370417,1,0.886817711,0.670575984,1,1,1,1,0.991933375,0.760681234,1,1,0.943096027,0.782000083,0.859820843,0.76724096,0.865049618,0.908468235,0.909771928,0.951658383,0.424461496,0.541131989,0.444692185,0.399563469,1,0.82500464,0.897331234,0.975546891,0.8531078,0.613715968,0.94781191,0.445269155,0.853011827,0.863615151,0.436524089,0.86667739
