,RSS,_kAktDephos,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1Dephos_kcat,_kIRS1Dephos_km,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KDephos,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40PhosByAkt_kcat,_kPras40PhosByAkt_km,_kS6KPhosS229_kcat,_kS6KPhosS229_km,_kS6KT389Dephos,_kS6KT389Phos_kcat,_kS6KT389Phos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_pPI3K
0,2.71222,0.09460750000000001,0.09700239999999999,246.47,267.615,9997.29,0.00010688200000000001,9616.24,0.00452294,0.0001,0.0001,0.00881089,0.872426,91.7347,455.124,47.2471,9930.96,17.5933,5929.1,8999.23,0.00010013,181.951,370.001,46.4388
1,2.7166200000000003,0.09088589999999999,13.302,0.053884100000000004,10.6821,393.13199999999995,0.00010449399999999999,1418.16,0.00452571,0.0001,0.000103641,0.000595562,9998.26,16.7402,78.2687,131.881,0.00270061,0.0386185,16.7403,9999.44,0.000106703,1837.69,102.675,0.00639379
2,2.72307,0.0745183,1190.49,77.9322,193.611,7236.32,0.000100017,979.745,0.00466889,0.0001,0.0001,0.000109531,4498.88,79.8759,390.7,4717.82,17.4829,0.056398800000000006,19.1428,8226.97,0.0209947,9488.01,0.36830799999999997,0.0009961269999999999
3,2.7676,0.0818556,0.817951,9798.15,130.886,4865.98,0.000109426,839.5139999999999,0.00449683,0.0001,0.0001,0.00537662,388.91,1944.71,9814.5,11.6097,9925.19,852.544,3616.02,110.584,0.000122452,375.228,3.3197300000000003,188.269
4,2.7701599999999997,0.0856425,0.0001,0.017869200000000002,36.0103,1336.59,0.00044622300000000004,5182.38,0.00448109,0.0001,0.000100244,0.46244799999999997,6612.4,2.3813299999999997,6.77614,1.7146099999999997,6197.21,1372.3,1554.56,25.5905,0.00010000100000000001,3240.02,5273.71,799.294
5,2.77228,0.112719,1.9732299999999998,5693.62,0.21948800000000002,2.48746,0.00041234800000000004,54.8702,0.00444577,0.00010014299999999999,0.00010276,1.9661799999999998,1227.18,158.336,795.677,16.5826,4647.13,119.206,7897.49,1775.98,0.000335574,1972.7,8.061869999999999,60.5828
6,2.77363,0.103692,0.00221793,9.64865,13.2881,491.233,0.00361553,9729.2,0.00471462,0.0001,0.00010669299999999999,0.180286,2312.19,1.04382,0.179463,4.17643,2511.03,0.060727699999999996,0.0093602,0.010092499999999999,0.00011179,4074.11,5.11525,128.877
7,2.77425,0.0975587,4.14337,2205.73,148.44299999999998,5548.76,0.000630668,7685.96,0.00446412,0.0001,0.0001,7.1708300000000005,9619.12,1996.41,9911.57,208.949,9362.58,3.37894,1264.56,9989.93,0.000141453,1823.72,4.59392,9.88535
8,2.79498,0.083139,9580.83,55.5925,212.454,7941.16,0.000109076,9996.75,0.00444181,0.0001,0.0001,0.000100405,9997.7,458.796,2277.48,8487.09,0.0001,1510.56,217.33900000000003,0.00010030799999999999,0.00010017299999999999,8127.48,9646.28,0.0001
9,2.81383,0.09209860000000002,26.9169,7632.97,94.3848,3532.68,0.00011346,8781.51,0.0045017,0.000102452,0.0001,2.3355599999999996,2107.57,2006.83,9992.79,292.262,6735.49,90.2666,958.362,286.44,0.00010609399999999999,9134.83,156.569,5.0642
